"FOLLOWERCOUNT","FOLLOWINGCOUNT","FULLNAME","ISFOLLOWED","ISPRIVATE","POSTCOUNT","STATUS","USERID","USERNAME"
"1525","1500","","false","false","390","Added to follower list.","","luis_chavez_s"
"3423","1529","","false","false","31","Removed because follower more than maximum follower","","alexandromegas"
"5156","2423","","false","false","6","Removed because follower more than maximum follower","","deborafrc_"
"3050","1753","","false","false","119","Removed because follower more than maximum follower","","erinpetal"
"2136","2979","","false","false","581","Added to follower list.","","macu_p_g"
"2334","3007","","false","false","0","Removed because follower more than maximum follower","","j_ewelry_062"
"4088","5050","","false","false","251","Removed because follower more than maximum follower","","2blonds2usa"
"3582","1983","","false","false","281","Removed because follower more than maximum follower","","globe_trot_pix"
"565","760","","false","false","196","Added to follower list.","","msdwoodjewelry"
"3412","3379","","false","false","64","Removed because follower more than maximum follower","","elfaphot"
"19702","1983","","false","false","2357","Removed because follower more than maximum follower","","eat.live.escape"
"315","283","","false","false","108","Added to follower list.","","iidakellin"
"8672","1075","","false","false","52","Removed because follower more than maximum follower","","i_peachesss"
"9663","3036","","false","false","231","Removed because follower more than maximum follower","","touringmaniac"
"6484","1097","","false","false","54","Removed because follower more than maximum follower","","albertolussana"
"3828","1049","","false","false","294","Removed because follower more than maximum follower","","villacencirelaismasseria"
"3068","2683","","false","false","288","Removed because follower more than maximum follower","","saige_tomas"
"2325","589","","false","false","41","Removed because follower more than maximum follower","","duft.queen"
"410","1010","","false","false","29","Added to follower list.","","official.sahin"
"703","656","","false","false","58","Added to follower list.","","ayssar_garbi"
"4160","1974","","false","false","98","Removed because follower more than maximum follower","","wildcampervans"
"224","161","","false","false","736","Added to follower list.","","irinachaan"
"4904","4040","","false","false","29","Removed because follower more than maximum follower","","midwestmaddie"
"4677","5226","","false","false","1369","Removed because follower more than maximum follower","","jefftech"
"646","4073","","false","false","41","Added to follower list.","","luxravel"
"13684","4288","","false","false","289","Removed because follower more than maximum follower","","ericdeschamps"
"616","2921","","false","false","8","Added to follower list.","","funandfoodtrips"
"2961","1149","","false","false","117","Removed because follower more than maximum follower","","michele_di.tullio"
"6966","5726","","false","false","364","Removed because follower more than maximum follower","","jahmiller"
"1278","1219","","false","false","80","Added to follower list.","","livingonhopesanddreams"
"7148","6882","","false","false","74","Removed because follower more than maximum follower","","juangallegosacosta"
"18252","1096","","false","false","1","Removed because follower more than maximum follower","","launch.vapes"
"26115","1184","","false","false","523","Removed because follower more than maximum follower","","bridgestoneespana"
"3561","5274","","false","false","213","Removed because follower more than maximum follower","","joelfernandezm"
"3211","2268","","false","false","64","Removed because follower more than maximum follower","","therawartist"
"6281","5098","","true","false","477","Removed because already followed","","fortetraveller__"
"5664","2343","","false","false","189","Removed because follower more than maximum follower","","8blackslegs"
"4280","4519","","false","true","71","Removed because private","","abner.guerra.587"
"3444","2796","","false","false","93","Removed because follower more than maximum follower","","_miachihuahua"
"60","371","","false","false","0","Removed because considered as bot","","samira.amiray"
"8607","2350","","false","false","1531","Removed because follower more than maximum follower","","mminuscoli"
"10924","4705","","false","false","373","Removed because follower more than maximum follower","","explorersscrapbook"
"666","2807","","false","false","67","Added to follower list.","","drywallextremo"
"5479","6494","","false","false","111","Removed because follower more than maximum follower","","edivaldapatriota"
"4679","2051","","false","false","41","Removed because follower more than maximum follower","","targetboost"
"4145","1492","","false","false","50","Removed because follower more than maximum follower","","julzlaporte"
"8178","2224","","false","false","671","Removed because follower more than maximum follower","","vivons_reunion"
"618","686","","false","false","31","Added to follower list.","","nomadspaceapp"
"9203","2480","","false","false","507","Removed because follower more than maximum follower","","avrexhiphop"
"2296","2263","","false","false","100","Added to follower list.","","elementincentives"
"13156","7323","","false","false","27","Removed because follower more than maximum follower","","isaurabhmehar"
"3136","1301","","false","false","150","Removed because follower more than maximum follower","","gregggiovanni"
"4078","5111","","false","false","567","Removed because follower more than maximum follower","","kleencutsolutions"
"4261","4083","","false","false","2282","Removed because follower more than maximum follower","","jean.lux"
"2601","2138","","false","false","3","Removed because follower more than maximum follower","","ishrikantvora"
"174","967","","false","false","16","Added to follower list.","","accessories_pearls"
"5595","1474","","false","false","202","Removed because follower more than maximum follower","","mr_jadejaa"
"336","2668","","false","false","27","Added to follower list.","","langsingkeren_tiens01"
"8753","6678","","false","false","699","Removed because follower more than maximum follower","","p4u1_murphy"
"4216","2418","","false","false","918","Removed because follower more than maximum follower","","xynamic"
"2176","5400","","false","false","36","Added to follower list.","","mohammadrezahosseini2001"
"3178","2212","","false","false","517","Removed because follower more than maximum follower","","julie.silvero"
"277","1250","","false","false","34","Added to follower list.","","muhadrian230803"
"3948","1351","","false","false","1653","Removed because follower more than maximum follower","","saget_photography"
"8094","644","","false","false","334","Removed because follower more than maximum follower","","karmenclair"
"99","23","","false","false","17","Added to follower list.","","jack_round_the_world"
"1583","4892","","false","false","21","Added to follower list.","","d.b.adrian"
"3003","1982","","false","false","1658","Removed because follower more than maximum follower","","travelarchivist"
"4984","1972","","false","false","683","Removed because follower more than maximum follower","","incontext_slanicmoldova"
"3305","3102","","false","false","197","Removed because follower more than maximum follower","","wipcanxpress.us"
"2529","1479","","false","false","135","Removed because follower more than maximum follower","","gioielleriageson"
"4433","4154","","false","false","320","Removed because follower more than maximum follower","","yarithegreat333"
"266","1624","","false","false","2","Removed because considered as bot","","dsmswebsolutions"
"3502","4766","","false","false","208","Removed because follower more than maximum follower","","thelonekemosabe"
"5126","4372","","false","true","7","Removed because private","","mr.ali_p00"
"3552","1357","","false","false","108","Removed because follower more than maximum follower","","dapper.jack"
"3925","4063","","false","false","250","Removed because follower more than maximum follower","","tylergolec"
"384","59","","false","false","3","Added to follower list.","","dora_d_explora_"
"3345","1668","","false","false","105","Removed because follower more than maximum follower","","alexcastri1"
"6219","6222","","false","false","86","Removed because follower more than maximum follower","","matheushhaag"
"3218","3159","","false","false","470","Removed because follower more than maximum follower","","getouttaroom"
"319","1704","","false","false","4","Added to follower list.","","ilgigliofiorentino_pasticceria"
"7224","4064","","false","false","395","Removed because follower more than maximum follower","","cooldjlboogie"
"2832","6187","","false","false","6","Removed because follower more than maximum follower","","wellingtonshoutout"
"17339","1965","","false","false","134","Removed because follower more than maximum follower","","nick.spinatelli"
"5118","2642","","false","false","662","Removed because follower more than maximum follower","","irenparker"
"3224","3075","","false","false","357","Removed because follower more than maximum follower","","lindastellasara"
"2154","2734","","false","false","305","Added to follower list.","","iscuba.online"
"4257","1712","","false","false","1925","Removed because follower more than maximum follower","","ellywithofs"
"10015","5355","","false","false","85","Removed because follower more than maximum follower","","travels_of_jeff"
"3867","2983","","false","false","218","Removed because follower more than maximum follower","","erik_yoder"
"3332","2392","","false","false","53","Removed because follower more than maximum follower","","_luciana_agostini_"
"3660","3871","","false","false","16","Removed because follower more than maximum follower","","javed_chap6ix"
"69","654","","false","false","8","Added to follower list.","","byfrido"
"7471","7036","","false","false","7","Removed because follower more than maximum follower","","gamin_dexter"
"105","127","","false","false","117","Added to follower list.","","ara.issa"
"6646","4901","","false","false","152","Removed because follower more than maximum follower","","plustencharisma"
"392","395","","false","false","12","Added to follower list.","","tommynexus"
"8779","2609","","false","false","179","Removed because follower more than maximum follower","","weddingsinmexico"
"7043","2000","","false","false","234","Removed because follower more than maximum follower","","adpmarco"
"874","1224","","false","false","15","Added to follower list.","","bellini19_sp"
"2132","7406","","false","false","15","Added to follower list.","","worldthrougherica"
"2818","6337","","false","false","31","Removed because follower more than maximum follower","","brandon.livfit"
"3182","2360","","false","false","1344","Removed because follower more than maximum follower","","monnalissa10"
"143","559","","false","false","2","Removed because considered as bot","","_couple_art"
"3997","2933","","false","false","369","Removed because follower more than maximum follower","","juli_ju_17_"
"1112","1651","","false","false","582","Added to follower list.","","nimeshshivaashishm"
"7447","6059","","false","false","1601","Removed because follower more than maximum follower","","motiv8rf"
"204","661","","false","false","8","Added to follower list.","","nurooktaviani"
"6437","6296","","false","false","9","Removed because follower more than maximum follower","","khaoulaelmahri_"
"4074","5383","","false","false","261","Removed because follower more than maximum follower","","theguidingfactor"
"16610","943","","false","false","302","Removed because follower more than maximum follower","","bootbuddy"
"11887","2083","","false","false","5","Removed because follower more than maximum follower","","malwa_jatts"
"10312","6601","","false","false","263","Removed because follower more than maximum follower","","oscarcastiellofficial_"
"4794","4375","","false","false","150","Removed because follower more than maximum follower","","il_sole_dentro_al_cuore"
"3851","2444","","false","false","92","Removed because follower more than maximum follower","","rohit_singhofficial"
"110","291","","false","false","1","Removed because considered as bot","","wandering_imaginationz"
"602","1466","","false","false","10","Added to follower list.","","_world_of_photography_4"
"6383","6711","","false","false","104","Removed because follower more than maximum follower","","snowhound_x0"
"4537","5615","","false","false","666","Removed because follower more than maximum follower","","healthyish_and_hangry"
"1339","2130","","false","false","121","Added to follower list.","","metalstuffbydennis"
"496","2603","","false","false","9","Added to follower list.","","gingerglobe01"
"9439","7091","","false","false","29","Removed because follower more than maximum follower","","redboy14.24_perspolis"
"6456","4749","","false","false","274","Removed because follower more than maximum follower","","hellooo_daisy"
"592","2205","","false","false","27","Added to follower list.","","ael_drn"
"8749","7254","","false","false","202","Removed because follower more than maximum follower","","ryusei_kano"
"108","550","","false","false","12","Added to follower list.","","getmywebsite"
"5936","5877","","false","false","82","Removed because follower more than maximum follower","","niefajny"
"3341","1716","","false","false","89","Removed because follower more than maximum follower","","arxrzdoce"
"3003","2991","","false","false","11","Removed because follower more than maximum follower","","deynnoh_lamar"
"6691","5763","","false","false","41","Removed because follower more than maximum follower","","stickandpokeappareluk"
"1472","2630","","false","false","208","Added to follower list.","","welcometohappystrails"
"3567","3445","","false","false","991","Removed because follower more than maximum follower","","vincenzo.cerrone"
"6429","5636","","false","false","1550","Removed because follower more than maximum follower","","mt_abbigliamento_donna"
"4759","3005","","false","false","824","Removed because follower more than maximum follower","","ingrid_oftedal"
"902","3851","","false","false","205","Added to follower list.","","uniquefuntw"
"2331","5675","","false","false","100","Removed because follower more than maximum follower","","hotelterrenas"
"1113","998","","false","false","0","Added to follower list.","","___globe"
"4357","2415","","false","false","0","Removed because follower more than maximum follower","","love_shocit"
"7633","4233","","false","false","157","Removed because follower more than maximum follower","","selti.1992"
"3622","827","","false","false","274","Removed because follower more than maximum follower","","michela.faccincani"
"214","914","","false","false","17","Added to follower list.","","asa_architecture_group"
"2669","2858","","false","false","15","Removed because follower more than maximum follower","","arshalallalu"
"11640","5256","","false","false","25","Removed because follower more than maximum follower","","sayed._____"
"3101","1591","","false","false","135","Removed because follower more than maximum follower","","visit_morocco_tours"
"3672","5576","","false","false","37","Removed because follower more than maximum follower","","lakedistrictart"
"2702","3044","","false","false","350","Removed because follower more than maximum follower","","manolisstergiopoulos"
"4164","3998","","false","false","361","Removed because follower more than maximum follower","","cbbccostarodona"
"1349","1359","","false","false","817","Added to follower list.","","nadiavelkou"
"51926","4744","","false","false","248","Removed because follower more than maximum follower","","shaikhahalshehab"
"9316","4445","","false","false","489","Removed because follower more than maximum follower","","tjellander"
"969","2302","","false","false","13","Added to follower list.","","instadoggiespack_"
"5086","2739","","false","false","202","Removed because follower more than maximum follower","","danii__len"
"3050","7492","","false","false","112","Removed because follower more than maximum follower","","giusy.barrale.9"
"1343","1859","","false","false","222","Added to follower list.","","tom.jumbo"
"419","414","","false","false","205","Added to follower list.","","boy2theworld"
"3426","2273","","false","false","106","Removed because follower more than maximum follower","","rrandhir"
"9359","6687","","false","false","2070","Removed because follower more than maximum follower","","devysusanty"
"469","588","","false","false","22","Added to follower list.","","dioduet_travel"
"266","338","","false","false","150","Added to follower list.","","twogetherwelove"
"9527","3411","","false","false","22","Removed because follower more than maximum follower","","dimicubanight"
"3821","1482","","false","false","133","Removed because follower more than maximum follower","","deacaparaalla.blog"
"4454","4711","","false","false","197","Removed because follower more than maximum follower","","jennsworldofdesign"
"4203","4990","","false","false","47","Removed because follower more than maximum follower","","contrabrandco"
"71","88","","false","false","7","Added to follower list.","","travel_yura"
"7408","6067","","false","false","326","Removed because follower more than maximum follower","","somethingsweetgelato"
"218","1893","","false","false","58","Added to follower list.","","tipsala_dokter"
"1031","6652","","false","false","56","Added to follower list.","","nicoll719"
"3219","999","","false","false","442","Removed because follower more than maximum follower","","reginashanice"
"940","4375","","false","false","32","Added to follower list.","","handsome_gentstyles_spot_"
"3747","1926","","false","false","289","Removed because follower more than maximum follower","","konarentals"
"3516","5687","","false","false","70","Removed because follower more than maximum follower","","dwelliehomes"
"470","377","","false","false","127","Added to follower list.","","s_i_z_z_l_i_n_g_t_e_a_p_o_t"
"6743","4247","","false","false","884","Removed because follower more than maximum follower","","levartz"
"3793","2696","","false","false","62","Removed because follower more than maximum follower","","joseyvillaplana"
"4776","3646","","false","false","25","Removed because follower more than maximum follower","","globe_travelerz"
"3568","5007","","false","false","448","Removed because follower more than maximum follower","","adebmoura"
"940","2605","","false","false","188","Added to follower list.","","your_fashion_forward_"
"5428","2771","","false","false","46","Removed because follower more than maximum follower","","nathalearhayanne"
"4472","2826","","false","false","409","Removed because follower more than maximum follower","","waldenpeterd"
"4228","4610","","false","false","155","Removed because follower more than maximum follower","","royalguardians.ca"
"3067","4598","","false","false","1598","Removed because follower more than maximum follower","","smileypisces"
"814","1646","","false","false","22","Added to follower list.","","gm5travel"
"3399","3910","","false","false","149","Removed because follower more than maximum follower","","explorershop77"
"177","319","","false","false","26","Added to follower list.","","quecomospain"
"3224","2656","","false","false","1016","Removed because follower more than maximum follower","","yogapack"
"108","458","","false","false","64","Added to follower list.","","binglinzou"
"689","622","","false","false","23","Added to follower list.","","aesthetics101_1"
"107","273","","false","false","695","Added to follower list.","","vilayvanh5"
"9595","3572","","false","false","577","Removed because follower more than maximum follower","","nolaarchitecturetours"
"534","1093","","false","true","259","Removed because private","","suren__222"
"1080","2208","","false","false","38","Added to follower list.","","billionaire_advice_mag"
"8451","1166","","false","false","1169","Removed because follower more than maximum follower","","travelmetravelworld1"
"3780","3324","","false","false","184","Removed because follower more than maximum follower","","chaparritosviajeros"
"2242","3474","","false","false","36","Added to follower list.","","chihuahua.inss"
"6789","3913","","false","false","552","Removed because follower more than maximum follower","","mecindonesia.info"
"22733","4677","","false","false","1336","Removed because follower more than maximum follower","","bullmastiffnation"
"525","3320","","false","false","80","Added to follower list.","","thomaswillson27"
"999","1635","","false","false","27","Added to follower list.","","roslynthebus"
"28","164","","false","true","1","Removed because private","","minyaklintahasliii"
"740","1413","","false","false","20","Added to follower list.","","_avengers__fan_page_"
"4316","4143","","false","false","89","Removed because follower more than maximum follower","","lipazbarel"
"386","2312","","false","false","44","Added to follower list.","","jockelarssonart"
"6369","4425","","false","false","1764","Removed because follower more than maximum follower","","dobasdrums"
"6203","6523","","false","true","55","Removed because private","","yudifaridzii.28"
"5034","2527","","false","false","204","Removed because follower more than maximum follower","","obruch"
"636","3111","","false","false","29","Added to follower list.","","albanianfood.al"
"5331","6053","","false","false","477","Removed because follower more than maximum follower","","nusapenidatourpackages"
"3379","1266","","false","false","189","Removed because follower more than maximum follower","","young_at_h_eart_h"
"3681","2246","","false","false","537","Removed because follower more than maximum follower","","goingturista"
"4716","3265","","false","false","154","Removed because follower more than maximum follower","","zebula_golf_estate_and_spa"
"3076","2987","","false","false","48","Removed because follower more than maximum follower","","brigitte_photography"
"6221","3610","","false","false","54","Removed because follower more than maximum follower","","andrenanikol"
"139","490","","false","false","13","Added to follower list.","","americannomads"
"4283","1497","","false","false","176","Removed because follower more than maximum follower","","thepush.cc"
"3222","2658","","false","false","219","Removed because follower more than maximum follower","","obsessionwander"
"3815","3786","","false","false","75","Removed because follower more than maximum follower","","the_martin_williams_group"
"7470","4966","","false","false","806","Removed because follower more than maximum follower","","betty.j.price"
"437","5119","","false","false","2","Removed because considered as bot","","lirstoys"
"7816","565","","false","false","19","Removed because follower more than maximum follower","","highonntravel"
"3295","2419","","false","false","18","Removed because follower more than maximum follower","","art_soul_amg"
"7637","6719","","false","false","456","Removed because follower more than maximum follower","","robbiebackpacking"
"3276","4211","","false","false","281","Removed because follower more than maximum follower","","celebritybrielle"
"6156","3887","","false","false","56","Removed because follower more than maximum follower","","pyg_mike"
"719","2071","","false","false","2284","Added to follower list.","","wildwizardsound"
"4202","5517","","false","false","482","Removed because follower more than maximum follower","","wellspring_at_the_cross"
"2757","4539","","false","false","20","Removed because follower more than maximum follower","","utravelnat18"
