"FOLLOWERCOUNT","FOLLOWINGCOUNT","FULLNAME","ISFOLLOWED","ISPRIVATE","POSTCOUNT","STATUS","USERID","USERNAME"
"10484","2353","","false","false","838","Removed because follower more than maximum follower","","joililikoi"
"1981","1861","","false","false","3365","Removed because follower more than maximum follower","","drielim"
"23201","4303","","false","false","1345","Removed because follower more than maximum follower","","rin4ik_kimosabe"
"1914","1373","","false","false","102","Removed because follower more than maximum follower","","klepa.life"
"2329","3296","","false","false","248","Removed because follower more than maximum follower","","doctor.luiztoledo"
"2749","6088","","false","false","71","Removed because follower more than maximum follower","","consejos_de_una_viajera"
"6888","1436","","false","false","344","Removed because follower more than maximum follower","","fatimahharoon"
"8819","2614","","false","false","1493","Removed because follower more than maximum follower","","lostilediartemide"
"43928","5896","","false","false","360","Removed because follower more than maximum follower","","whitepalmboutique"
"20982","3212","","false","false","835","Removed because follower more than maximum follower","","global.traveller.rhys"
"1952","1538","","false","false","201","Removed because follower more than maximum follower","","love_francis_photos"
"8991","1850","","false","false","21","Removed because follower more than maximum follower","","mikewilltravelpics"
"3287","1698","","false","false","392","Removed because follower more than maximum follower","","anthonywithtrust"
"747","1012","","false","false","38","Added to follower list.","","canadian.counting.countries"
"18542","2850","","false","false","59","Removed because follower more than maximum follower","","travelwithtoms"
"1557","3646","","false","false","197","Removed because follower more than maximum follower","","trekinmy_shoes"
"6045","4286","","false","false","692","Removed because follower more than maximum follower","","theafricansavannah"
"15066","3100","","false","false","607","Removed because follower more than maximum follower","","vivo_positivo"
"2866","1390","","false","false","82","Removed because follower more than maximum follower","","remarkablegreece"
"768","626","","false","false","31","Added to follower list.","","donnymarcobarnes"
"1856","1218","","false","false","415","Removed because follower more than maximum follower","","putriota"
"2742","1584","","false","false","212","Removed because follower more than maximum follower","","penguins_insta_us"
"7254","5512","","false","false","419","Removed because follower more than maximum follower","","perthtravelers"
"606","2704","","false","false","503","Added to follower list.","","mohammedbd1988"
"6922","2249","","false","false","520","Removed because follower more than maximum follower","","soulthesea"
"2710","7311","","false","false","795","Removed because follower more than maximum follower","","parrot.fish"
"439","433","","false","true","88","Removed because private","","amraj_g"
"1500","1087","","false","false","56","Removed because follower more than maximum follower","","_lastminutetravel_"
"4790","1289","","false","false","154","Removed because follower more than maximum follower","","voguesaturdays"
"4967","3631","","false","false","403","Removed because follower more than maximum follower","","dzoligrafijaputomanija"
"7433","7494","","false","false","206","Removed because follower more than maximum follower","","gospodinsaizuzetnogputa"
"2594","3197","","false","false","711","Removed because follower more than maximum follower","","the_world_according_to_yaz"
"37692","6593","","false","false","250","Removed because follower more than maximum follower","","iamryanwarner"
"1329","732","","false","false","68","Removed because follower more than maximum follower","","travelling_simo_rona"
"2059","1753","","false","false","44","Removed because follower more than maximum follower","","thaitravelgirl"
"9329","5807","","false","false","143","Removed because follower more than maximum follower","","ilpeggiore"
