"FOLLOWERCOUNT","FOLLOWINGCOUNT","FULLNAME","ISFOLLOWED","ISPRIVATE","POSTCOUNT","STATUS","USERID","USERNAME"
"6420","2024","","false","false","228","Added to follower list.","","nest27_urbex"
"7202","4933","","false","false","362","Added to follower list.","","381info"
"2843","3232","","false","false","206","Added to follower list.","","sdownsphotography"
"251","392","","false","false","19","Added to follower list.","","aeibal.a.sam"
"283","1441","","false","false","160","Added to follower list.","","nature_global1"
"1112","652","","false","false","199","Added to follower list.","","borcy.art.photo"
"5805","748","","false","false","85","Added to follower list.","","diyphotographynet"
"21868","6609","","false","false","122","Added to follower list.","","cross__streets"
"356","372","","false","false","8","Added to follower list.","","christa_partylite"
"75","52","","false","false","6","Added to follower list.","","seeyousoonmoon"
"77","1071","","false","false","0","Removed because considered as bot","","kendalltamgutez"
"938","1040","","false","false","135","Added to follower list.","","dieter.deventer"
"4293","2162","","false","false","144","Added to follower list.","","evanfranklin"
"12661","5647","","false","false","11112","Added to follower list.","","maikosebasu"
"340","312","","false","false","18","Added to follower list.","","in_love_with_penf"
"421","530","","false","false","9","Added to follower list.","","orphicalli"
"296","290","","false","false","31","Added to follower list.","","jarhephotography"
"1997","4041","","false","false","46","Added to follower list.","","giraffe.lover.ins"
"494","590","","false","false","18","Added to follower list.","","nithinappu789"
"1115","5885","","false","false","2130","Added to follower list.","","jacksawas"
"9668","7200","","false","false","84","Added to follower list.","","alle_leitgeb94"
"160","490","","false","false","18","Added to follower list.","","kaschtina"
"206","311","","false","false","14","Added to follower list.","","suzymooney.photography"
"4183","1629","","false","false","227","Added to follower list.","","b4beachclub"
"6625","6161","","false","false","121","Added to follower list.","","cmposition"
"243","511","","false","false","10","Added to follower list.","","whynotraw"
"2144","1682","","false","true","53","Added to follower list.","","ahsan__ijaz"
"11427","309","","false","false","1","Added to follower list.","","jerry_hdp"
"378","320","","false","false","145","Added to follower list.","","jaana.silja"
"3161","4605","","false","false","148","Added to follower list.","","abstractart.olli"
"218","225","","false","false","24","Added to follower list.","","the_lg_traveler"
"4809","5756","","false","false","1131","Added to follower list.","","metdefranseslag"
"925","763","","false","false","25","Added to follower list.","","impactdestinations"
"83","233","","false","false","30","Added to follower list.","","reframegear"
"1541","844","","false","false","49","Added to follower list.","","pr_as_ha_nt_97"
"16381","7006","","false","true","267","Added to follower list.","","tommi_bonja"
"3358","4386","","false","false","231","Added to follower list.","","j.shabo"
"7119","2271","","false","false","862","Added to follower list.","","melvinlim8"
"408","358","","false","false","17","Added to follower list.","","ingermosaker"
"272","202","","false","false","79","Added to follower list.","","__magikk__"
"403","361","","false","false","296","Added to follower list.","","justiingrayy"
"166","663","","false","false","19","Added to follower list.","","photography.moblie"
"147","243","","false","false","11","Added to follower list.","","photographer20235"
"523","391","","false","false","141","Added to follower list.","","ijevremovic_"
"116","130","","false","false","15","Added to follower list.","","die.irae"
"203","202","","false","false","7","Added to follower list.","","sluggishclouds"
"663","1350","","false","false","16","Added to follower list.","","lorexplore"
"5111","5080","","false","false","205","Added to follower list.","","aurelie_photography"
"134","207","","false","true","4","Added to follower list.","","ubermensch_mare"
"1265","5134","","false","false","106","Added to follower list.","","_click_a_world___"
"157","242","","false","false","25","Added to follower list.","","photographing_mary"
"214","551","","false","false","49","Added to follower list.","","pot_ache_"
"174","160","","false","false","34","Added to follower list.","","saramantovaniphoto"
"3035","2881","","false","false","111","Added to follower list.","","juniornaveeed"
"3405","1554","","false","false","78","Added to follower list.","","ap4good"
