"FOLLOWERCOUNT","FOLLOWINGCOUNT","FULLNAME","ISFOLLOWED","ISPRIVATE","POSTCOUNT","STATUS","USERID","USERNAME"
"3246","2804","","false","false","620","Removed because follower more than maximum follower","","architlost"
"614","1157","","false","false","4","Added to follower list.","","elpazaru"
"4234","1785","","false","false","249","Removed because follower more than maximum follower","","gaetanoadragnafotografo"
"3122","1391","","false","false","154","Removed because follower more than maximum follower","","lesartistesduregardparis"
"19","253","","false","false","0","Removed because considered as bot","","shaulagalera"
"34","134","","false","false","1","Removed because considered as bot","","lofttraveller"
"1895","1612","","false","false","859","Added to follower list.","","healthandhairs"
"2873","1274","","false","false","593","Removed because follower more than maximum follower","","robbieklitzing"
"30","189","","false","false","0","Removed because considered as bot","","bunicornb"
"80","551","","false","false","10","Added to follower list.","","choppersandchamps"
"1478","1108","","false","false","493","Added to follower list.","","lobiamsterdam"
"943","454","","false","false","17","Added to follower list.","","kkiashko"
"41","669","","false","false","1","Removed because considered as bot","","taniejzakupy.pl"
"2052","2881","","false","false","76","Removed because follower more than maximum follower","","pleaseunboxtech"
"4389","2744","","false","false","306","Removed because follower more than maximum follower","","hi_interiors"
"1232","1241","","false","false","331","Added to follower list.","","janay_shackleford_189"
"662","1171","","false","false","23","Added to follower list.","","bitacoraenmano"
"362","925","","false","false","28","Added to follower list.","","williamwalker_41734g"
"5882","6882","","false","false","28","Removed because follower more than maximum follower","","hiking_in_the_usa2018"
"384","455","","false","true","213","Removed because private","","olgaberning"
"13","10","","false","false","0","Added to follower list.","","urbantraveller__"
"1957","3156","","false","true","9","Removed because private","","zoyamohamadi_"
"384","687","","false","false","9","Added to follower list.","","hernanjavi20"
"53288","6954","","false","false","6572","Removed because follower more than maximum follower","","milanjusviadireta"
"13461","6600","","false","false","839","Removed because follower more than maximum follower","","carmodels.ro"
"447","1100","","false","false","218","Added to follower list.","","blondymermaid"
"768","2998","","false","false","20","Added to follower list.","","anue4l_2blea"
"1586","949","","false","false","454","Added to follower list.","","carlamrtins"
"17701","6438","","false","false","144","Removed because follower more than maximum follower","","lifeofenis"
"10776","790","","false","false","289","Removed because follower more than maximum follower","","2019_twiggy"
"326","2264","","false","false","65","Added to follower list.","","arminprobst"
"26","137","","false","false","16","Added to follower list.","","raginglaflame"
"15","16","","false","false","7","Added to follower list.","","musadellamatita.venezia"
"22971","1655","","false","false","118","Removed because follower more than maximum follower","","sigoatendencia"
"23320","2143","","false","false","38","Removed because follower more than maximum follower","","black_diam0ond"
"18115","4444","","false","true","47","Removed because private","","godi___gak_"
"298","582","","false","false","108","Added to follower list.","","dreamers_ontheroad"
"378","703","","false","false","77","Added to follower list.","","deepak_jain_"
"348","578","","false","false","105","Added to follower list.","","another_vegan_blog"
"1891","7409","","false","false","26","Added to follower list.","","chaimaa_ilona_yoch"
"3622","3113","","false","false","343","Removed because follower more than maximum follower","","donatellaliguori"
"326","1651","","false","false","299","Added to follower list.","","megvanveldhuizen"
"848","1605","","false","false","140","Added to follower list.","","zlatan_tnjr99"
"8270","445","","false","false","412","Removed because follower more than maximum follower","","gayle.c.mckellar"
"724","1088","","false","false","22","Added to follower list.","","sunaina.shanti"
"585","2265","","false","false","41","Added to follower list.","","jiquipilco.edomex"
"2941","506","","false","false","50","Removed because follower more than maximum follower","","alfatoursphuquoc"
"195","452","","false","false","34","Added to follower list.","","picsbyhipszz"
"686","3946","","false","false","184","Added to follower list.","","the_official_trent_hill"
"464","2618","","false","false","4","Added to follower list.","","y_and_y_love"
"21979","1038","","false","false","1972","Removed because follower more than maximum follower","","ambrosmiles"
"547","1479","","false","false","37","Added to follower list.","","hamza.houame"
"1880","2316","","false","false","853","Added to follower list.","","guava_mama"
"1414","2023","","false","false","37","Added to follower list.","","jake.the.plug"
"1270","1844","","false","false","6","Added to follower list.","","briljant_groeien_op_insta"
"46","53","","false","false","5","Added to follower list.","","xdrawandeverythingx"
"52","146","","false","false","5","Added to follower list.","","rafailtripakis"
"1112","915","","false","true","447","Removed because private","","joanneduddridge"
"24","137","","false","false","6","Added to follower list.","","jacobeatsfood"
"1543","765","","false","false","44","Added to follower list.","","_the_secret_shop_"
"628","571","","false","false","57","Added to follower list.","","claudio_snidero"
"518","1305","","false","false","21","Added to follower list.","","thisis_kxmbxofficial"
"52","182","","false","false","11","Added to follower list.","","uoadventures"
"3281","6436","","false","false","101","Removed because follower more than maximum follower","","vida.essencialoficial"
"7461","7347","","false","false","101","Removed because follower more than maximum follower","","jona_carpfishing"
"1386","4159","","false","false","16","Added to follower list.","","pkbeats_2003"
"12187","5496","","false","false","174","Removed because follower more than maximum follower","","under_the_nordic_sky"
"1929","711","","false","false","344","Added to follower list.","","bymarcocastro"
"343","774","","false","false","110","Added to follower list.","","dou_________"
"1579","4212","","false","true","16","Removed because private","","maruuu.00"
"2447","2472","","false","true","3","Removed because private","","achmadmaulanaibrahim_"
"927","1439","","false","false","6","Added to follower list.","","gabriel_lira__"
"26747","7418","","false","false","648","Removed because follower more than maximum follower","","sergoisrael"
"6953","2270","","false","false","469","Removed because follower more than maximum follower","","_romanmoran"
"236","1158","","false","false","7","Added to follower list.","","al_racing_xx_xo"
"2308","3934","","false","false","90","Removed because follower more than maximum follower","","johnboybravo"
"1411","6342","","false","false","173","Added to follower list.","","personaltrainerpolvora"
"2847","2389","","false","false","81","Removed because follower more than maximum follower","","_dukkessa_"
"660","527","","false","false","101","Added to follower list.","","miishashop"
"13116","7376","","false","false","86","Removed because follower more than maximum follower","","umsalo01"
"855","754","","false","false","90","Added to follower list.","","loganhemphill"
"154","933","","false","false","18","Added to follower list.","","jiquipilco2019"
"1012","483","","false","false","139","Added to follower list.","","princess.plant"
"2246","5049","","false","false","203","Removed because follower more than maximum follower","","dia_khalil"
"678","779","","false","false","171","Added to follower list.","","franmoore98"
"239","687","","false","false","188","Added to follower list.","","stuff3183"
"10085","919","","false","false","301","Removed because follower more than maximum follower","","segerweten"
"12457","4789","","false","false","73","Removed because follower more than maximum follower","","daantjeee92"
"379","626","","false","false","128","Added to follower list.","","olesia_v_strane_chudes"
"1250","1078","","false","false","263","Added to follower list.","","pegahshamloo"
"519","633","","false","true","118","Removed because private","","evyatarshualy"
"431","2169","","false","false","74","Added to follower list.","","alexandretoffinart"
"353","3136","","false","false","53","Added to follower list.","","popova0995a"
"6104","2718","","false","false","419","Removed because follower more than maximum follower","","simone.zafrani"
"640","2510","","false","false","3","Removed because considered as bot","","moneymeier_fan"
"350","1141","","false","false","19","Added to follower list.","","gypsythornn"
"265","470","","false","false","2","Removed because considered as bot","","mariannelambert21"
"2616","4023","","false","false","5","Removed because follower more than maximum follower","","tarantula_ig"
"1248","1962","","false","false","17","Added to follower list.","","thegreenwitchherbalist"
"577","625","","false","true","56","Removed because private","","hannah_lund1"
"1031","1164","","false","true","228","Removed because private","","lauraromeror"
"580","1518","","false","false","244","Added to follower list.","","olafvdvelden"
"3542","3206","","false","false","130","Removed because follower more than maximum follower","","seafunsun"
"2021","3384","","false","false","86","Removed because follower more than maximum follower","","studiozelden"
"2751","7473","","false","false","26","Removed because follower more than maximum follower","","ventas_madrid_"
"1175","3336","","false","false","718","Added to follower list.","","jpablo_cruzando26"
"987","7503","","false","false","1340","Added to follower list.","","explore_modelist"
"2400","7449","","false","false","14","Removed because follower more than maximum follower","","lati_nita"
"179","965","","false","true","88","Removed because private","","jonathan.coveney"
"7306","1509","","false","false","119","Removed because follower more than maximum follower","","bedrockandbloom"
"1318","496","","false","false","406","Added to follower list.","","_xo.xo.xo_"
"23","74","","false","false","7","Added to follower list.","","roksanahuba"
